タイトル,タイトルURL,access,価格,価格3,seat,seat4,blog_URL,blog,message,slncouponlist_URL,価格6,slncouponlist_URL9,価格11,slncouponlist_URL13,価格15
Ｅｒｂａ 【エルバ】,https://beauty.hotpepper.jp/slnH000306714/?cstt=16,ミスタードーナツ高尾台店から車で１分,カット,"￥6,050",席数,セット面6席,https://beauty.hotpepper.jp/slnH000306714/blog/?cstt=16,3件,2件,https://beauty.hotpepper.jp/slnH000306714/coupon/?couponId=CP00000010615514&cstt=16&wak=BPSC400401_link_coupon,"￥14,000",https://beauty.hotpepper.jp/slnH000306714/coupon/?couponId=CP00000010615525&cstt=16&wak=BPSC400401_link_coupon,"￥15,000",https://beauty.hotpepper.jp/slnH000306714/coupon/?couponId=CP00000010615605&cstt=16&wak=BPSC400401_link_coupon,"￥8,000"
garden,https://beauty.hotpepper.jp/slnH000133923/?cstt=17,泉丘高校からココス角曲がり・くすりのアオキの隣ファミリーマート斜め向いの茶色建物,カット,"￥4,330",席数,セット面5席,https://beauty.hotpepper.jp/slnH000133923/blog/?cstt=17,81件,3件,https://beauty.hotpepper.jp/slnH000133923/coupon/?couponId=CP00000005736002&cstt=17&wak=BPSC400401_link_coupon,"￥6,900",https://beauty.hotpepper.jp/slnH000133923/coupon/?couponId=CP00000004389493&cstt=17&wak=BPSC400401_link_coupon,"￥6,500",https://beauty.hotpepper.jp/slnH000133923/coupon/?couponId=CP00000005063846&cstt=17&wak=BPSC400401_link_coupon,"￥6,000"
hair progress Suburb【サバーブ】,https://beauty.hotpepper.jp/slnH000183505/?cstt=18,伏見台バス停から徒歩1分,カット,"￥4,950",席数,セット面10席,https://beauty.hotpepper.jp/slnH000183505/blog/?cstt=18,46件,7件,https://beauty.hotpepper.jp/slnH000183505/coupon/?couponId=CP00000007409867&cstt=18&wak=BPSC400401_link_coupon,"￥12,000",https://beauty.hotpepper.jp/slnH000183505/coupon/?couponId=CP00000007409860&cstt=18&wak=BPSC400401_link_coupon,"￥10,000",https://beauty.hotpepper.jp/slnH000183505/coupon/?couponId=CP00000007409869&cstt=18&wak=BPSC400401_link_coupon,"￥6,500"
PARAISO hair works【パライソ】,https://beauty.hotpepper.jp/slnH000547100/?cstt=19,有松バス停より徒歩4分/泉2丁目バス停より徒歩3分,カット,"￥4,950",席数,セット面2席,https://beauty.hotpepper.jp/slnH000547100/blog/?cstt=19,6件,4件,https://beauty.hotpepper.jp/slnH000547100/coupon/?couponId=CP00000008050312&cstt=19&wak=BPSC400401_link_coupon,"￥6,050",https://beauty.hotpepper.jp/slnH000547100/coupon/?couponId=CP00000008061460&cstt=19&wak=BPSC400401_link_coupon,"￥9,900",https://beauty.hotpepper.jp/slnH000547100/coupon/?couponId=CP00000008050318&cstt=19&wak=BPSC400401_link_coupon,"￥9,900"
ROCOCO 【ロココ】,https://beauty.hotpepper.jp/slnH000038456/?cstt=20,コープおおぬかより２００ｍほど四十万方面へ直進、向かい側≪髪質改善、白髪ぼかし≫,カット,"￥6,600～",席数,セット面2席,https://beauty.hotpepper.jp/slnH000038456/blog/?cstt=20,683件,49件,https://beauty.hotpepper.jp/slnH000038456/coupon/?couponId=CP00000011197000&cstt=20&wak=BPSC400401_link_coupon,"￥16,500",https://beauty.hotpepper.jp/slnH000038456/coupon/?couponId=CP00000010963837&cstt=20&wak=BPSC400401_link_coupon,"￥18,700",https://beauty.hotpepper.jp/slnH000038456/coupon/?couponId=CP00000006357437&cstt=20&wak=BPSC400401_link_coupon,"￥23,100"
ARIA【HEAVEN×HEAVEN】,https://beauty.hotpepper.jp/slnH000080770/?cstt=21,野々市工大駅から車で5分,カット,"￥4,400",席数,セット面5席,https://beauty.hotpepper.jp/slnH000080770/blog/?cstt=21,59件,70件,https://beauty.hotpepper.jp/slnH000080770/coupon/?couponId=CP00000007105559&cstt=21&wak=BPSC400401_link_coupon,"￥3,900",https://beauty.hotpepper.jp/slnH000080770/coupon/?couponId=CP00000007105566&cstt=21&wak=BPSC400401_link_coupon,"￥9,300",https://beauty.hotpepper.jp/slnH000080770/coupon/?couponId=CP00000007691955&cstt=21&wak=BPSC400401_link_coupon,"￥1,500"
．Ｋ,https://beauty.hotpepper.jp/slnH000467601/?cstt=22,【髪質改善/女性スタイリストのみ◎】西金沢駅徒歩15分/押野駅徒歩7分,カット,"￥4,950",席数,セット面4席,https://beauty.hotpepper.jp/slnH000467601/blog/?cstt=22,35件,27件,https://beauty.hotpepper.jp/slnH000467601/coupon/?couponId=CP00000009025586&cstt=22&wak=BPSC400401_link_coupon,"￥10,450",https://beauty.hotpepper.jp/slnH000467601/coupon/?couponId=CP00000009025592&cstt=22&wak=BPSC400401_link_coupon,"￥11,550",https://beauty.hotpepper.jp/slnH000467601/coupon/?couponId=CP00000009025594&cstt=22&wak=BPSC400401_link_coupon,"￥12,650"
NOSTA【ノスタ】,https://beauty.hotpepper.jp/slnH000414776/?cstt=23,金沢泉が丘高校近く★サンピア泉が丘むかいです♪,カット,"￥5,500～",席数,セット面2席,https://beauty.hotpepper.jp/slnH000414776/blog/?cstt=23,164件,7件,https://beauty.hotpepper.jp/slnH000414776/coupon/?couponId=CP00000006583030&cstt=23&wak=BPSC400401_link_coupon,"￥5,500",https://beauty.hotpepper.jp/slnH000414776/coupon/?couponId=CP00000007209266&cstt=23&wak=BPSC400401_link_coupon,"￥11,000",https://beauty.hotpepper.jp/slnH000414776/coupon/?couponId=CP00000006793858&cstt=23&wak=BPSC400401_link_coupon,"￥14,080"
liberte,https://beauty.hotpepper.jp/slnH000380217/?cstt=24,窪南バス停より徒歩3分。,カット,"￥5,280",席数,セット面3席,https://beauty.hotpepper.jp/slnH000380217/blog/?cstt=24,79件,15件,https://beauty.hotpepper.jp/slnH000380217/coupon/?couponId=CP00000006887773&cstt=24&wak=BPSC400401_link_coupon,10％オフ,https://beauty.hotpepper.jp/slnH000380217/coupon/?couponId=CP00000006398180&cstt=24&wak=BPSC400401_link_coupon,"￥7,722",https://beauty.hotpepper.jp/slnH000380217/coupon/?couponId=CP00000006887767&cstt=24&wak=BPSC400401_link_coupon,"￥5,742"
Concept hair【コンセプトヘアー】,https://beauty.hotpepper.jp/slnH000273589/?cstt=25,ココス泉ガ丘店さん近く、結城歯科さん斜め前。,カット,"￥5,280",席数,セット面2席,https://beauty.hotpepper.jp/slnH000273589/blog/?cstt=25,126件,16件,https://beauty.hotpepper.jp/slnH000273589/coupon/?couponId=CP00000007529681&cstt=25&wak=BPSC400401_link_coupon,"￥5,280",https://beauty.hotpepper.jp/slnH000273589/coupon/?couponId=CP00000007529713&cstt=25&wak=BPSC400401_link_coupon,"￥7,480",https://beauty.hotpepper.jp/slnH000273589/coupon/?couponId=CP00000007529718&cstt=25&wak=BPSC400401_link_coupon,"￥8,580"
hair salon LiLiana,https://beauty.hotpepper.jp/slnH000381766/?cstt=26,山側環状線近くでアクセス◎有松方面から真っすぐ四十万方面へ,カット,"￥5,800",席数,セット面3席,https://beauty.hotpepper.jp/slnH000381766/blog/?cstt=26,475件,18件,https://beauty.hotpepper.jp/slnH000381766/coupon/?couponId=CP00000006582075&cstt=26&wak=BPSC400401_link_coupon,"￥16,900",https://beauty.hotpepper.jp/slnH000381766/coupon/?couponId=CP00000006582090&cstt=26&wak=BPSC400401_link_coupon,"￥14,500",https://beauty.hotpepper.jp/slnH000381766/coupon/?couponId=CP00000006582098&cstt=26&wak=BPSC400401_link_coupon,"￥12,500"
Lien,https://beauty.hotpepper.jp/slnH000656052/?cstt=27,総合体育館前　泉ヶ丘高校徒歩３分　有松病院から車で５分　片町から車で10分,カット,"￥5,280～",席数,セット面2席,https://beauty.hotpepper.jp/slnH000656052/blog/?cstt=27,229件,17件,https://beauty.hotpepper.jp/slnH000656052/coupon/?couponId=CP00000009201590&cstt=27&wak=BPSC400401_link_coupon,￥0,https://beauty.hotpepper.jp/slnH000656052/coupon/?couponId=CP00000009155268&cstt=27&wak=BPSC400401_link_coupon,20％オフ,https://beauty.hotpepper.jp/slnH000656052/coupon/?couponId=CP00000009140021&cstt=27&wak=BPSC400401_link_coupon,"￥15,180"
髪質改善美容室AUREA【8月 NEW OPEN（予定）】,https://beauty.hotpepper.jp/slnH000805828/?cstt=28,■北陸鉄道馬替駅から徒歩11分■北鉄バス光が丘口から徒歩1分,カット,"￥11,000～",席数,セット面3席,https://beauty.hotpepper.jp/slnH000805828/blog/?cstt=28,2件,,https://beauty.hotpepper.jp/slnH000805828/coupon/?couponId=CP00000011000253&cstt=28&wak=BPSC400401_link_coupon,"￥43,460",https://beauty.hotpepper.jp/slnH000805828/coupon/?couponId=CP00000011000263&cstt=28&wak=BPSC400401_link_coupon,"￥32,900",https://beauty.hotpepper.jp/slnH000805828/coupon/?couponId=CP00000011000334&cstt=28&wak=BPSC400401_link_coupon,"￥27,900"
alica hair salon 【アリカヘアサロン】,https://beauty.hotpepper.jp/slnH000287860/?cstt=29,【寺地エリア】金沢駅からすぐ！ダメージレス施術で艶髪♪[ショートカット/ヘナ],カット,"￥7,700",席数,セット面1席,https://beauty.hotpepper.jp/slnH000287860/blog/?cstt=29,68件,301件,https://beauty.hotpepper.jp/slnH000287860/coupon/?couponId=CP00000004461235&cstt=29&wak=BPSC400401_link_coupon,"￥18,700",https://beauty.hotpepper.jp/slnH000287860/coupon/?couponId=CP00000007826253&cstt=29&wak=BPSC400401_link_coupon,"￥16,500",https://beauty.hotpepper.jp/slnH000287860/coupon/?couponId=CP00000008248231&cstt=29&wak=BPSC400401_link_coupon,"￥22,000"
メンズサロン　foyer【ホワイエ】,https://beauty.hotpepper.jp/slnH000708097/?cstt=30,高尾南3丁目バス停から徒歩3分,カット,"￥3,500～",席数,-,https://beauty.hotpepper.jp/slnH000708097/blog/?cstt=30,15件,5件,https://beauty.hotpepper.jp/slnH000708097/coupon/?couponId=CP00000010702053&cstt=30&wak=BPSC400401_link_coupon,"￥5,000",https://beauty.hotpepper.jp/slnH000708097/coupon/?couponId=CP00000010702089&cstt=30&wak=BPSC400401_link_coupon,"￥4,500",https://beauty.hotpepper.jp/slnH000708097/coupon/?couponId=CP00000010702103&cstt=30&wak=BPSC400401_link_coupon,"￥5,500"
hair spirit SunPillaR,https://beauty.hotpepper.jp/slnH000797939/?cstt=31,額住宅前駅から徒歩１０分,カット,"￥5,000～",席数,セット面3席,https://beauty.hotpepper.jp/slnH000797939/blog/?cstt=31,2件,3件,https://beauty.hotpepper.jp/slnH000797939/coupon/?couponId=CP00000011109548&cstt=31&wak=BPSC400401_link_coupon,"￥12,500",https://beauty.hotpepper.jp/slnH000797939/coupon/?couponId=CP00000011108601&cstt=31&wak=BPSC400401_link_coupon,￥0,https://beauty.hotpepper.jp/slnH000797939/coupon/?couponId=CP00000010980529&cstt=31&wak=BPSC400401_link_coupon,"￥4,000"
private hair salon moku【モク】,https://beauty.hotpepper.jp/slnH000554869/?cstt=32,山側環状近く　有松方面から真っすぐ四十万方面へ。ウエルシア四十万店近く,カット,"￥4,730",席数,セット面2席,https://beauty.hotpepper.jp/slnH000554869/blog/?cstt=32,3件,4件,https://beauty.hotpepper.jp/slnH000554869/coupon/?couponId=CP00000008125123&cstt=32&wak=BPSC400401_link_coupon,"￥7,000",https://beauty.hotpepper.jp/slnH000554869/coupon/?couponId=CP00000008125125&cstt=32&wak=BPSC400401_link_coupon,"￥8,000",https://beauty.hotpepper.jp/slnH000554869/coupon/?couponId=CP00000008125131&cstt=32&wak=BPSC400401_link_coupon,"￥15,000"
ONLY WAY,https://beauty.hotpepper.jp/slnH000375145/?cstt=33,高尾台中学校近く、高尾台中学前の信号となり。,カット,"￥5,500",席数,セット面3席,https://beauty.hotpepper.jp/slnH000375145/blog/?cstt=33,21件,4件,https://beauty.hotpepper.jp/slnH000375145/coupon/?couponId=CP00000007103242&cstt=33&wak=BPSC400401_link_coupon,"￥17,380",https://beauty.hotpepper.jp/slnH000375145/coupon/?couponId=CP00000007103252&cstt=33&wak=BPSC400401_link_coupon,"￥17,380",https://beauty.hotpepper.jp/slnH000375145/coupon/?couponId=CP00000006626748&cstt=33&wak=BPSC400401_link_coupon,"￥6,150"
T-OUT メンズ特化サロン 【ティーアウト】,https://beauty.hotpepper.jp/slnH000710247/?cstt=34,北陸鉄道バス33番または35番「上有松」バス停より徒歩4分  金沢有松病院から徒歩4分,カット,"￥4,200～",席数,セット面2席,https://beauty.hotpepper.jp/slnH000710247/blog/?cstt=34,213件,22件,https://beauty.hotpepper.jp/slnH000710247/coupon/?couponId=CP00000009818019&cstt=34&wak=BPSC400401_link_coupon,"￥4,500",https://beauty.hotpepper.jp/slnH000710247/coupon/?couponId=CP00000009966917&cstt=34&wak=BPSC400401_link_coupon,"￥11,000",https://beauty.hotpepper.jp/slnH000710247/coupon/?couponId=CP00000009784558&cstt=34&wak=BPSC400401_link_coupon,"￥12,980"
髪質改善サロンmikata,https://beauty.hotpepper.jp/slnH000593750/?cstt=35,高尾南3丁目バス停から徒歩1分,カット,"￥5,500",席数,セット面1席,https://beauty.hotpepper.jp/slnH000593750/blog/?cstt=35,19件,14件,https://beauty.hotpepper.jp/slnH000593750/coupon/?couponId=CP00000008549818&cstt=35&wak=BPSC400401_link_coupon,"￥15,840",https://beauty.hotpepper.jp/slnH000593750/coupon/?couponId=CP00000008502896&cstt=35&wak=BPSC400401_link_coupon,"￥16,830",https://beauty.hotpepper.jp/slnH000593750/coupon/?couponId=CP00000008502893&cstt=35&wak=BPSC400401_link_coupon,"￥15,840"
白髪ぼかし専門サロン Hau'oli ～ハウオリ～横川店,https://beauty.hotpepper.jp/slnH000784604/?cstt=36,ラウンドワンから車で3分/サーティーワン金沢久安店から車で1分/駐車場◎[白髪ぼかし],カット,"￥5,500",席数,セット面1席,https://beauty.hotpepper.jp/slnH000784604/blog/?cstt=36,157件,18件,https://beauty.hotpepper.jp/slnH000784604/coupon/?couponId=CP00000010636721&cstt=36&wak=BPSC400401_link_coupon,"￥9,900",https://beauty.hotpepper.jp/slnH000784604/coupon/?couponId=CP00000010636702&cstt=36&wak=BPSC400401_link_coupon,"￥7,700",https://beauty.hotpepper.jp/slnH000784604/coupon/?couponId=CP00000010636736&cstt=36&wak=BPSC400401_link_coupon,"￥19,800"
La vie en rose,https://beauty.hotpepper.jp/slnH000651432/?cstt=37,金沢寺地クリニック並び　野々市駅から車で9分　[髪質改善/縮毛矯正],カット,"￥4,950",席数,セット面3席,https://beauty.hotpepper.jp/slnH000651432/blog/?cstt=37,185件,29件,https://beauty.hotpepper.jp/slnH000651432/coupon/?couponId=CP00000011057673&cstt=37&wak=BPSC400401_link_coupon,"￥8,200",https://beauty.hotpepper.jp/slnH000651432/coupon/?couponId=CP00000009200139&cstt=37&wak=BPSC400401_link_coupon,"￥3,800",https://beauty.hotpepper.jp/slnH000651432/coupon/?couponId=CP00000009164276&cstt=37&wak=BPSC400401_link_coupon,"￥11,000"
cara extension【カーラ エクステンション】,https://beauty.hotpepper.jp/slnH000498139/?cstt=38,当日予約ok!久安3丁目交差点近く〇クーポン多数[横川/シールエクステ/インナーカラー],カット,"￥2,500",席数,セット面2席,https://beauty.hotpepper.jp/slnH000498139/blog/?cstt=38,488件,39件,https://beauty.hotpepper.jp/slnH000498139/coupon/?couponId=CP00000011207857&cstt=38&wak=BPSC400401_link_coupon,"￥7,000",https://beauty.hotpepper.jp/slnH000498139/coupon/?couponId=CP00000011207884&cstt=38&wak=BPSC400401_link_coupon,"￥8,000",https://beauty.hotpepper.jp/slnH000498139/coupon/?couponId=CP00000010123137&cstt=38&wak=BPSC400401_link_coupon,"￥3,980"
ｃｏｃｈｉ　ｈａｉｒ　ｄｅｓｉｇｎ 【コチ　ヘアー　デザイン】,https://beauty.hotpepper.jp/slnH000597113/?cstt=39,金沢赤十字病院近く,カット,"￥4,950～",席数,セット面1席,https://beauty.hotpepper.jp/slnH000597113/blog/?cstt=39,10件,26件,https://beauty.hotpepper.jp/slnH000597113/coupon/?couponId=CP00000010073357&cstt=39&wak=BPSC400401_link_coupon,"￥10,725",https://beauty.hotpepper.jp/slnH000597113/coupon/?couponId=CP00000008531112&cstt=39&wak=BPSC400401_link_coupon,"￥10,310",https://beauty.hotpepper.jp/slnH000597113/coupon/?couponId=CP00000008531117&cstt=39&wak=BPSC400401_link_coupon,"￥10,725"
